genres,id,vote_average,keywords
"[{'id': 14}, {'id': 878}, {'id': 12}]",902.0,<8.0>,"[{'id': 402}, {'id': 1566}, {'id': 2041}, {'id': 4484}, {'id': 4565}, {'id': 4995}, {'id': 6054}, {'id': 10084}, {'id': 10103}, {'id': 14659}, {'id': 157955}]"
"[{'id': 18}, {'id': 80}]",37557.0,<8.0>,"[{'id': 964}, {'id': 2311}, {'id': 2682}, {'id': 2992}, {'id': 6464}, {'id': 11869}, {'id': 41277}]"
"[{'id': 18}, {'id': 80}]",9909.0,<8.0>,"[{'id': 897}, {'id': 3436}, {'id': 6270}, {'id': 6610}, {'id': 10508}, {'id': 155582}]"
"[{'id': 878}, {'id': 53}, {'id': 9648}]",63.0,<8.0>,"[{'id': 222}, {'id': 276}, {'id': 277}, {'id': 278}, {'id': 4379}, {'id': 4458}, {'id': 4565}, {'id': 14675}, {'id': 15149}, {'id': 162801}]"
"[{'id': 14}, {'id': 18}, {'id': 35}, {'id': 10751}]",9598.0,<6.0>,"[{'id': 3020}, {'id': 4931}, {'id': 5608}, {'id': 8082}, {'id': 11115}, {'id': 11477}, {'id': 18013}, {'id': 33671}, {'id': 158019}, {'id': 206052}]"
"[{'id': 36}, {'id': 18}, {'id': 10749}]",47018.0,<8.0>,"[{'id': 392}, {'id': 437}, {'id': 8997}, {'id': 10183}, {'id': 13065}]"
[{'id': 18}],687.0,<8.0>,"[{'id': 378}, {'id': 570}, {'id': 1952}, {'id': 2060}, {'id': 2122}, {'id': 2300}, {'id': 2501}, {'id': 2538}, {'id': 2726}, {'id': 2796}, {'id': 2885}, {'id': 3012}, {'id': 3437}, {'id': 3440}, {'id': 3441}, {'id': 3442}, {'id': 3446}, {'id': 3447}, {'id': 3448}, {'id': 3927}, {'id': 6059}, {'id': 6145}, {'id': 6148}, {'id': 11263}, {'id': 13001}]"
"[{'id': 35}, {'id': 10751}, {'id': 10749}]",33689.0,<8.0>,"[{'id': 13014}, {'id': 204353}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",9603.0,<8.0>,"[{'id': 1525}, {'id': 6270}, {'id': 6664}, {'id': 7208}, {'id': 10199}, {'id': 11933}, {'id': 187056}]"
[{'id': 18}],34615.0,<8.0>,[{'id': 3644}]
"[{'id': 18}, {'id': 10752}]",31174.0,<8.0>,"[{'id': 392}, {'id': 497}, {'id': 1930}, {'id': 9826}, {'id': 13084}]"
"[{'id': 28}, {'id': 80}, {'id': 18}, {'id': 36}]",11443.0,<8.0>,"[{'id': 10594}, {'id': 11254}, {'id': 159640}, {'id': 159643}, {'id': 159660}, {'id': 159661}]"
"[{'id': 18}, {'id': 10749}]",35196.0,<8.0>,"[{'id': 931}, {'id': 1279}, {'id': 2098}, {'id': 6148}, {'id': 10329}, {'id': 44448}, {'id': 44449}]"
"[{'id': 28}, {'id': 14}]",9312.0,<6.0>,"[{'id': 779}, {'id': 1299}, {'id': 2041}, {'id': 10292}, {'id': 10821}, {'id': 12380}, {'id': 14819}, {'id': 41645}, {'id': 188955}]"
"[{'id': 14}, {'id': 18}, {'id': 35}, {'id': 53}]",577.0,<8.0>,"[{'id': 596}, {'id': 1442}, {'id': 1523}, {'id': 2136}, {'id': 6018}, {'id': 208477}]"
"[{'id': 18}, {'id': 10749}]",11861.0,<8.0>,"[{'id': 1334}, {'id': 1459}, {'id': 2587}, {'id': 5773}, {'id': 5999}, {'id': 6038}, {'id': 9470}, {'id': 9673}, {'id': 33694}, {'id': 34094}, {'id': 164039}, {'id': 187056}]"
