BINS,LR,LDA,PER,SGD,KNN,DT,RF,EXT,ADA,BAG,BNB,GNB,MLP
2,0.63050497524187432,0.63075255367798477,0.48088792418054654,0.53894153894223229,0.74352885110035927,0.74499099859233586,0.77536601674824479,0.77270382099508228,0.77717920036350985,0.77365628238719686,0.75373190876897478,0.38356890744473521,0.6119565476221932
3,0.48097624394750876,0.50554542106901079,0.25372097013248895,0.34388289868791427,0.59493703274747178,0.6244483659325929,0.67164262809047881,0.65909294134782548,0.63793239982626448,0.67147317008456064,0.56198112008023249,0.23470025673977762,0.37166105418681211
4,0.5312126484001104,0.53430907454931442,0.34409613038933168,0.33234697649496997,0.62785247337952454,0.63272424565899144,0.67811448347684311,0.66941254912780701,0.66378599307052721,0.67414668876228734,0.62057586427669653,0.26248469033586291,0.4281630581409071
5,0.33550120491657615,0.41580132838285538,0.19710657069881615,0.25524508198693396,0.50120511930810197,0.52517373775624765,0.5721353239189515,0.55782595749075392,0.57384029163549588,0.56673364698018003,0.36835031741228408,0.18740715037873329,0.2475803602028567
6,0.30345991857265153,0.32781299379434936,0.1850799268005299,0.15032718022201413,0.43412594105336277,0.4662638436549883,0.51335157578671553,0.49836316145594373,0.44499876669333671,0.50972475565026865,0.35518813135848759,0.16802024139396302,0.21812994802091695
7,0.27182000482130902,0.28386377080238628,0.18102162945967321,0.18824482241600754,0.40305963229450431,0.43226766687932117,0.47228091548083223,0.46223172211860797,0.4009657719008185,0.47092698739042171,0.34913944696668475,0.16156905602515712,0.17886848367251593
8,0.23882285313758875,0.29543141257634253,0.11177755126421071,0.12184983796993498,0.36511336095980129,0.40004021477288382,0.43344276952843386,0.42664984193411193,0.4231403901884766,0.43115996059356887,0.25651034614480911,0.13624885344674137,0.15644287324708961
9,0.20374260975558159,0.21858942438789911,0.11999268783238097,0.075107050004594403,0.32554436199221337,0.361975366466329,0.39431490145302506,0.38352541615367125,0.33631202543403843,0.38919073682379945,0.25051913565502848,0.1288532489388578,0.14758297954527594
10,0.18769851490774675,0.18521657086604432,0.11052121535800936,0.096370839307240649,0.30278910354536354,0.3392555358161588,0.37246626823505669,0.36056942770060268,0.3321441080081533,0.36897269410665795,0.22201330482689849,0.11863610135760574,0.11265256592382114
