BINS,LR,LDA,PER,SGD,KNN,DT,RF,EXT,ADA,BAG,BNB,GNB,MLP
2,0.87660845588235292,0.87660845588235292,0.87660845588235292,0.86056985294117649,0.86162683823529407,0.82003676470588238,0.86953124999999998,0.86622242647058822,0.8802849264705882,0.86222426470588243,0.87660845588235292,0.87660845588235292,0.74204963235294119
3,0.62421874999999993,0.67224264705882342,0.61158088235294117,0.46291360294117645,0.64094669117647063,0.64499080882352944,0.71934742647058836,0.70353860294117643,0.70137867647058816,0.71006433823529413,0.64958639705882359,0.64379595588235294,0.55804227941176465
4,0.81148897058823555,0.81011029411764712,0.56443014705882344,0.61654411764705874,0.7865808823529411,0.7226102941176471,0.79986213235294112,0.79765624999999996,0.66695772058823533,0.79581801470588243,0.81148897058823555,0.80238970588235303,0.65280330882352944
5,0.56217830882352948,0.55602022058823519,0.54094669117647054,0.55036764705882357,0.57858455882352933,0.58832720588235288,0.65193014705882357,0.63749999999999996,0.55850183823529409,0.640625,0.57596507352941173,0.40735294117647058,0.45716911764705886
6,0.52311580882352948,0.55721507352941169,0.5025735294117647,0.35523897058823528,0.51397058823529418,0.51631433823529416,0.58584558823529409,0.58088235294117641,0.49246323529411767,0.57886029411764706,0.53377757352941169,0.17817095588235293,0.4232077205882353
7,0.52909007352941173,0.53731617647058827,0.41806066176470591,0.3261029411764706,0.48690257352941169,0.4725643382352942,0.54209558823529413,0.5365808823529411,0.51760110294117656,0.53809742647058822,0.53809742647058834,0.16488970588235294,0.39738051470588237
8,0.44485294117647067,0.46135110294117654,0.27812500000000001,0.30739889705882356,0.43079044117647058,0.43515625000000008,0.4986672794117647,0.49195772058823534,0.47614889705882357,0.49480698529411765,0.44200367647058825,0.12573529411764706,0.38529411764705884
9,0.41429227941176466,0.43092830882352945,0.38102022058823526,0.29958639705882356,0.38308823529411767,0.39186580882352945,0.44908088235294119,0.43901654411764701,0.4193474264705882,0.44420955882352936,0.41709558823529413,0.1348345588235294,0.35579044117647063
10,0.38143382352941174,0.38520220588235288,0.30156250000000001,0.28106617647058824,0.3502757352941176,0.36410845588235291,0.41833639705882353,0.41194852941176469,0.39411764705882346,0.42031249999999998,0.39434742647058824,0.11989889705882353,0.27715992647058824
