BINS,LR,LDA,PER,SGD,KNN,DT,RF,EXT,ADA,BAG,BNB,GNB,MLP
2,0.04631762504577637,0.023146319389343261,0.01320178508758545,0.014395713806152344,0.34691925048828126,0.12536039352416992,0.34008822441101072,0.19445772171020509,0.95580806732177737,0.77169353961944576,0.030276989936828612,0.01198737621307373,0.47133944034576414
3,0.16519193649291991,0.026279592514038087,0.050409674644470215,0.047856187820434569,0.35904409885406496,0.15807280540466309,0.42520258426666258,0.26190819740295412,0.89343631267547607,0.976584792137146,0.012498879432678222,0.0097021818161010746,0.47551858425140381
4,0.15649363994598389,0.019598913192749024,0.038648080825805661,0.036333990097045896,0.35056321620941161,0.17699480056762695,0.6067739725112915,0.3686532497406006,0.94070920944213865,0.98298606872558592,0.012041711807250976,0.010048627853393555,0.54129302501678467
5,0.19939830303192138,0.023054337501525878,0.054135179519653319,0.053364491462707518,0.35093011856079104,0.15041875839233398,0.44044272899627684,0.25869853496551515,1.3545722246170044,1.1126585960388184,0.011683034896850585,0.011614036560058594,0.6890581369400024
6,0.29534060955047609,0.019801688194274903,0.046800899505615237,0.048185634613037112,0.35673174858093259,0.16518440246582031,0.65407807826995845,0.44297778606414795,1.1693420886993409,0.99891121387481685,0.016813230514526368,0.011281681060791016,0.56709756851196291
7,0.45220417976379396,0.024578213691711426,0.080095291137695312,0.075851297378540045,0.35231723785400393,0.22313556671142579,0.60693900585174565,0.33802409172058107,1.1136115789413452,1.09884831905365,0.014032268524169922,0.012553024291992187,0.52339041233062744
8,0.45382728576660158,0.020179224014282227,0.055107712745666504,0.06037337779998779,0.35991611480712893,0.17412922382354737,0.50127065181732178,0.31407735347747801,1.0376521110534669,1.1446778297424316,0.017728757858276368,0.013927578926086426,0.61826388835906987
9,0.86563262939453123,0.022155618667602538,0.15489542484283447,0.11008310317993164,0.36031327247619627,0.16022760868072511,0.48399369716644286,0.29532401561737059,1.0298890352249146,1.0986417055130004,0.012978959083557128,0.012216973304748534,0.55464961528778078
10,0.78721263408660891,0.021063566207885742,0.093707418441772466,0.092321538925170893,0.37902541160583497,0.17082140445709229,0.50357367992401125,0.34321792125701905,1.2345688581466674,1.3028460264205932,0.017804598808288573,0.024178123474121092,0.74071860313415527
