BINS,LR,LDA,PER,SGD,KNN,DT,RF,EXT,ADA,BAG,BNB,GNB,MLP
2,0.81966552728827247,0.81966552728827247,0.81966552728827247,0.81289366507036542,0.83665173807648241,0.82486985247204336,0.85518197392032569,0.85280561415619949,0.84001294597355614,0.85237634624194758,0.81966552728827247,0.81966552728827247,0.71545795093095443
3,0.54677003246393929,0.59949922632634489,0.52689646220133179,0.36144411971386942,0.62403827184340832,0.64733438702648483,0.70415456386295328,0.68648864145836286,0.67570039483807964,0.69645966647113833,0.51279243018521004,0.53518671628957759,0.44234545388919705
4,0.72776171111359145,0.73651775285075449,0.53281552967252188,0.555613350634237,0.74441610706934913,0.7290913812518004,0.7674826022848702,0.76690061832863954,0.67914787688154865,0.76906190555836174,0.72776171111359145,0.72677833786508272,0.60709975731859045
5,0.46340902932449091,0.44469037806033762,0.43203811681892762,0.45416637345294769,0.5722321491597353,0.59117338616662995,0.64607755954157076,0.63249285069567618,0.57261807226100747,0.63622455196115513,0.42358074257127465,0.35315300058483734,0.35723590807059646
6,0.42265379432614142,0.46694577778831092,0.38395622435929611,0.25014261837641333,0.49962605520814335,0.51888277772475111,0.57074630992817843,0.56711446194954163,0.46330326682744644,0.56721177313484983,0.37188709768111267,0.23314689945291006,0.31916822000522904
7,0.38443912629362625,0.40048191073766964,0.31451405448236286,0.23857843733436024,0.46533807119231591,0.47602352964332717,0.52431380001747052,0.52063673680677369,0.38162817101269908,0.52416364198040921,0.37829861663670367,0.22222794034441179,0.32171197627524639
8,0.35991217053944674,0.40913534609128688,0.18334286337403388,0.19641563675759838,0.41933426137379015,0.43848713902120046,0.48487273081427917,0.48058060634078315,0.43199508617113047,0.48412648713167911,0.27343069515629131,0.16212366602476155,0.27214604105965229
9,0.29613001189675947,0.32586444441301121,0.24476652847789704,0.21671978096530195,0.3719673481049009,0.39360609812292108,0.43699667134850567,0.42955388709001924,0.30219307279158369,0.43531364122333438,0.246092749207728,0.16948919392445344,0.2323318265119414
10,0.27756491208222167,0.26074877109943506,0.20523005347341336,0.17280000237301851,0.33944448921315851,0.3660218471348809,0.40961242719953039,0.40337985968764889,0.23799625165992561,0.4128766585752201,0.22432385613758518,0.16338563203325746,0.16983964684796382
